"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
,,,,,ampicillin,1,
,,,,,apramycin,1,
,,,,,bacitracin,,1
,,,,,capreomycin,,1
,,,,,chloramphenicol,1,
,,,,,cycloheximide,,1
,,,,,erythromycin,1,
159823,MOTT36W,"KCTC 29127, JCM 32454",1,"Mycobacterium chelonae subsp. gwanakae",clarithromycin,,1
,,,,,doxycycline,1,
158425,,"DSM 105360, TBL 1200985, ATCC TSD-117",1,"Mycobacterium decipiens",Amikacin,1,
,,,,,ciprofloxacin,,1
,,,,,clarithromycin,1,
,,,,,doxycycline,1,
,,,,,linezolid,1,
,,,,,moxifloxacin,1,
,,,,,rifabutin,1,
,,,,,rifampicin,,1
140369,X82,"DSM 44358, CECT 8775",1,"Mycobacterium eburneum",amikacin,,1
,,,,,amoxicillin,1,
,,,,,carbenicillin,,1
,,,,,cefazolin,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,,1
,,,,,chlortetracyclin,,1
,,,,,enoxacin,1,
,,,,,fusidate,1,
,,,,,gentamicin,1,
158795,,"CIP 110823T, ATCC BAA 2758, GPK 1020",1,"Mycobacterium komaniense",amikacin,1,
,,,,,amoxicillin,,1
,,,,,cefoxitin,,1
,,,,,ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,doxycycline,1,
,,,,,imipenem,,1
,,,,,tobramycin,,1
8339,40,"DSM 43219, CECT 8763, SN 1900",1,"Mycobacterium lehmannii","1 % sodium lactate",,1
,,,,,aztreonam,,1
,,,,,fusidate,1,
,,,,,"guanidinium chloride",1,
,,,,,lincomycin,1,
,,,,,"lithium chloride",,1
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",,1
133382,,"ATCC BAA 2759, CIP 110822, WCM 7299",1,"Mycobacterium malmesburyense",amikacin,1,
,,,,,amoxicillin,,1
,,,,,cefoxitin,,1
,,,,,ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,doxycycline,1,
,,,,,imipenem,,1
,,,,,tobramycin,1,
8246,2409,"DSM 43532, CECT 8766, SN 1904",1,"Mycobacterium neumannii","1 % sodium lactate",,1
,,,,,aztreonam,,1
,,,,,fusidate,1,
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,1,
,,,,,"lithium chloride",,1
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",,1
140637,MOTT64,"KCTC 29084, JCM 30622",1,"Mycobacterium intracellulare",amikacin,,1
,,,,,cefoxitin,,1
,,,,,ciprofloxacin,,1
,,,,,clarithromycin,,1
,,,,,doxycycline,,1
,,,,,imipenem,1,
,,,,,moxifloxacin,,1
,,,,,rifampicin,,1
,,,,,tobramycin,1,
140288,AFPC-000227,"DSM 104278, CIP 111197, AFPC 000207",1,"Mycobacterium persicum",amikacin,1,
,,,,,clarithromycin,1,
,,,,,linezolid,1,
,,,,,moxifloxacin,1,
,,,,,rifampicin,1,
133184,,"DL734, JCM 30395, NCCB 100519",1,"Mycobacterium sarraceniae",ampicillin,1,
,,,,,aztreonam,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,penicillin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,trimethoprim,,1
140668,NJB0901,"JCM 31611, KCTC 39843, DSM 109040",1,"Mycobacterium stephanolepidis",ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,doxycycline,1,
158439,27335,"DSM 105112, ATCC TSD-89",1,"Mycobacterium syngnathidarum",Amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,,1
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,"clavulanic acid",1,
,,,,,doxycycline,,1
,,,,,doxycycline,1,
140345,NE-TNMC-100812,"DSM 46873, ATCC BAA 2683",1,"Mycobacterium talmoniae",amikacin,1,
,,,,,ciprofloxacin,,1
,,,,,clarithromycin,1,
,,,,,clofazimine,,1
,,,,,ethambutol,1,
,,,,,linezolid,,1
,,,,,moxifloxacin,1,
,,,,,rifabutin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,,1
140022,56A97,"DSM 21909, ATCC BAA 1432, NCTC 11747",1,"Mycoplasma tullyi",penicillin,,1
19163,"Mx f495",,0,"Myxococcus fulvus",kanamycin,,1
19164,"Mx f492",,0,"Myxococcus fulvus",ampicillin,,1
19187,"Mx f472",,0,"Myxococcus fulvus",kanamycin,,1
19192,"Mx f474",,0,"Myxococcus fulvus",kanamycin,,1
19282,"Mx f430",,0,"Myxococcus fulvus",kanamycin,,1
19290,"Mx f426",,0,"Myxococcus fulvus",kanamycin,,1
19627,"Mx f329",,0,"Myxococcus fulvus",kanamycin,,1
20267,"Mx f521",,0,"Myxococcus fulvus",kanamycin,,1
20292,"Mx f512",,0,"Myxococcus fulvus",ampicillin,,1
20296,"Mx f518",,0,"Myxococcus fulvus",kanamycin,,1
21612,"Mx s66",,0,"Myxococcus stipitatus",kanamycin,,1
21634,"Mx s79",,0,"Myxococcus stipitatus",ampicillin,,1
,,,,,kanamycin,,1
21637,"Mx s77",,0,"Myxococcus stipitatus",kanamycin,,1
22422,"Mx v239",,0,"Myxococcus virescens",ampicillin,,1
22470,"Mx v217",,0,"Myxococcus virescens",cycloheximide,,1
,,,,,kanamycin,,1
22535,"Mx v253",,0,"Myxococcus virescens",ampicillin,,1
18627,"Mx x150",,0,"Myxococcus xanthus",ampicillin,,1
132455,2Q3S-4-2,"DSM 100722, CGMCC 4.7308",1,"Nakamurella endophytica","1 % sodium lactate",,1
,,,,,aztreonam,,1
,,,,,fusidate,1,
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,,1
,,,,,"lithium chloride",1,
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",,1
18426,"Na a170",,0,"Nannocystis exedens",kanamycin,,1
18452,"Na a151",,0,"Nannocystis exedens",ampicillin,,1
18456,"Na a169",,0,"Nannocystis exedens",kanamycin,,1
18953,"Na a122",,0,"Nannocystis exedens",kanamycin,,1
18959,"Na a111",,0,"Nannocystis exedens",kanamycin,,1
20893,"Na e619",,0,"Nannocystis exedens",kanamycin,,1
21761,"Na e1051",,0,"Nannocystis exedens",kanamycin,,1
21762,"Na e1050",,0,"Nannocystis exedens",kanamycin,,1
21764,"Na e1052",,0,"Nannocystis exedens",kanamycin,,1
21772,"Na e1093",,0,"Nannocystis exedens",kanamycin,,1
21780,"Na e1088",,0,"Nannocystis exedens",kanamycin,,1
21784,"Na e1082",,0,"Nannocystis exedens",ampicillin,,1
21790,"Na e1076",,0,"Nannocystis exedens",kanamycin,,1
21897,"Na e1096",,0,"Nannocystis exedens",kanamycin,,1
21898,"Na e1097",,0,"Nannocystis exedens",kanamycin,,1
21979,"Na e1117",,0,"Nannocystis exedens",kanamycin,,1
21980,"Na e1116",,0,"Nannocystis exedens",kanamycin,,1
21984,"Na e1121",,0,"Nannocystis exedens",kanamycin,,1
21989,"Na e1128",,0,"Nannocystis exedens",kanamycin,,1
21990,"Na e1124",,0,"Nannocystis exedens",kanamycin,,1
22386,"Na e952",,0,"Nannocystis exedens",kanamycin,,1
22387,"Na e953",,0,"Nannocystis exedens",kanamycin,,1
22410,"Na e960",,0,"Nannocystis exedens",kanamycin,,1
22412,"Na e962",,0,"Nannocystis exedens",kanamycin,,1
22416,"Na e964",,0,"Nannocystis exedens",ampicillin,,1
22417,"Na e965",,0,"Nannocystis exedens",kanamycin,,1
22449,"Na e930",,0,"Nannocystis exedens",kanamycin,,1
22469,"Na e945",,0,"Nannocystis exedens",kanamycin,,1
22471,"Na e946",,0,"Nannocystis exedens",kanamycin,,1
22475,"Na e948",,0,"Nannocystis exedens",kanamycin,,1
22507,"Na e998",,0,"Nannocystis exedens",ampicillin,,1
22531,"Na e982",,0,"Nannocystis exedens",ampicillin,,1
22579,"Na e915",,0,"Nannocystis exedens",kanamycin,,1
22720,"Na e895",,0,"Nannocystis exedens",kanamycin,,1
22786,"Na g4",,0,"Nannocystis exedens",kanamycin,,1
158619,MNa11734,"DSM 104509, NCCB 100618",1,"Nannocystis konarekensis",ampicillin,1,
,,,,,bacitracin,,1
,,,,,cephalosporin,1,
,,,,,chloramphenicol,1,
,,,,,fusidate,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,oxytetracycline,,1
,,,,,"polymyxin b",1,
,,,,,spectinomycin,1,
140647,5-3,"IBRC-M 11063, LMG 29247",1,"Natrinema soli",ampicillin,,1
,,,,,bacitracin,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,nitrofurantoin,1,
,,,,,novobiocin,1,
158806,,"CCTCC AB 2015430, KCTC 42985, NBRC 111872, MCCC 1K03518, CY 02",1,"Neptunicoccus sediminis",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,neomycin,1,
,,,,,nitrofurantoin,1,
,,,,,"penicillin g",1,
132446,CK5,"DSM 27373, JCM 19723",1,"Nesterenkonia aurantiaca",bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,fusidate,1,
,,,,,lincomycin,1,
,,,,,novobiocin,1,
,,,,,nystatin,1,
,,,,,penicillin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,1,
140586,10C,"LMG 29100, KCTC 39636, CGMCC 1.15388",1,"Nesterenkonia cremea",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,penicillin,1,
,,,,,streptomycin,1,
159880,,"CCTCC AB 2017176, NBRC 112398, EGI 60016",1,"Nesterenkonia endophytica",Amikacin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,netilmycin,,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,"polymyxin b",1,
140823,R384,"KEMB 9005-329, KACC 18454, JCM 31011",1,"Niabella pedocola",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,cycloheximide,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,novobiocin,,1
,,,,,penicillin,,1
,,,,,rifampicin,1,
141099,MME-018,"KCCM 43135, JCM 30752",1,"Nioella aestuarii",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,lincomycin,1,
,,,,,neomycin,1,
,,,,,norfloxacin,1,
140601,2-2-12-1,"CGMCC 1.15320, LMG 29090",1,"Nitratireductor aestuarii",amikacin,1,
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,azithromycin,1,
,,,,,cefotaxime,,1
,,,,,ceftazidime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,novobiocin,,1
140898,MEB087,"KCTC 42948, JCM 19317",1,"Nitrincola alkalisediminis",ampicillin,,1
,,,,,bacitracin,1,
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,penicillin,1,
,,,,,"polymyxin b",1,
159828,MY1,"JCM 31640, KCTC 4249",1,"Nitrosarchaeum koreense",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,clarithromycin,,1
,,,,,kanamycin,,1
,,,,,"penicillin g",,1
,,,,,streptomycin,1,
140139,,"DSM 106739, JCM 18716, KACC 17062, MIC 2059",1,"Niveibacterium umoris",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,doxycycline,1,
,,,,,erythromycin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,1,
132662,"KLBMP S0027","DSM 101725, CGMCC 4.7330, KCTC 39691",1,"Nocardia jiangsuensis",chloramphenicol,1,
,,,,,ciprofloxacin,,1
,,,,,clarithromycin,1,
,,,,,co-trimoxazole,,1
,,,,,erythromycin,1,
,,,,,levofloxacin,1,
,,,,,minocycline,1,
,,,,,norfloxacin,,1
,,,,,oxacillin,,1
,,,,,penicillin,1,
140848,RY45-3,"JCM 19832, TISTR 2213, PCU 334",1,"Nocardia rayongensis",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefotaxime,,1
,,,,,ceftriaxone,,1
,,,,,ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,"clavulanic acid",1,
,,,,,imipenem,1,
,,,,,linezolid,1,
,,,,,minocycline,1,
158323,"KLBMP S0039","DSM 101726, CGMCC 4.7329, KCTC 39693",1,"Nocardia rhizosphaerihabitans",ciprofloxacin,1,
,,,,,clarithromycin,,1
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,levofloxacin,,1
,,,,,minocycline,,1
,,,,,norfloxacin,1,
,,,,,oxacillin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
133101,ST01-07,"BCC 45622, NBRC 109069",1,"Nocardia xestospongiae",amikacin,1,
,,,,,ciprofloxacin,1,
,,,,,clarithromycin,1,
,,,,,imipenem,1,
,,,,,linezolid,1,
,,,,,minocycline,1,
132516,SYP-A7303,"DSM 100492, KCTC 39594",1,"Nocardioides ginkgobilobae","1 % sodium lactate",1,
,,,,,d-serine,1,
,,,,,fusidate,1,
,,,,,"guanidinium chloride",1,
,,,,,lincomycin,1,
,,,,,"lithium chloride",1,
,,,,,minocycline,1,
,,,,,niaproof,1,
,,,,,"potassium tellurite",1,
,,,,,"rifamycin sv",1,
133130,,"YIM DR1091, JCM 30632, CGMCC 4.7251",1,"Nocardioides intraradicalis",amikacin,1,
,,,,,cefuroxime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,norfloxacin,,1
,,,,,novobiocin,,1
,,,,,optochin,,1
,,,,,oxacillin,1,
133104,WYH11-7,"DSM 104026, CGMCC 4.7371",1,"Nocardioides phosphati",amikacin,1,
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,azithromycin,1,
,,,,,bacitracin,,1
,,,,,cefotaxime,1,
,,,,,ceftazidime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,clindamycin,,1
140344,,"DSM 100390, KCTC 39565, NBRC 110251, BGMRC 0092",1,"Nocardioides sonneratiae",fusidate,,1
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,,1
,,,,,"lithium chloride",,1
,,,,,minocycline,,1
,,,,,niaproof,,1
,,,,,"potassium tellurite",,1
,,,,,"rifamycin sv",,1
,,,,,"sodium bromate",,1
,,,,,troleandomycin,,1
133117,OITF-31,"KCTC 52502, NBRC 112459",1,"Nonlabens aestuariivivens",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
133316,,"KCTC 52177, NBRC 111996, CAU 1131",1,"Nonlabens halophilus",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
159855,Jyi-02,"BCRC 80537, KCTC 32422",1,"Novosphingobium arvoryzae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,,1
,,,,,sulfamethoxazole,1,
133280,,"STM-24, BCRC 80925, LMG 29291, KCTC 42984",1,"Novosphingobium bradum",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,,1
,,,,,sulfamerazine,1,
140931,Teta.03,"LMG 27385, KCTC 32255",1,"Novosphingobium colocasiae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,,1
,,,,,sulfamethoxazole,,1
133078,SA925,"DSM 32207, GDMCC 1.1110",1,"Novosphingobium guangzhouense",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,cefepime,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,,1
,,,,,ceftazidime,1,
,,,,,ceftriaxone,,1
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,clindamycin,,1
140737,Tese-5,"BCRC 80904, LMG 28838, KCTC 42656",1,"Novosphingobium ipomoeae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
140811,D39,"KEMB 9005-346, KACC 18593, JCM 31158",1,"Novosphingobium naphthae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,cycloheximide,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,1,
,,,,,rifampicin,1,
140899,SLH-16,"BCRC 80888, LMG 28418, KCTC 42194",1,"Novosphingobium piscinae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
159645,102-Na3,"DSM 106032, JCM 32358, KCTC 62271",1,"Oceanimonas marisflavi",ampicillin,,1
,,,,,apramycin,1,
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,natamycin,,1
,,,,,novobiocin,,1
140412,SY2,"DSM 104770, KCTC 15593, KEMB 3001-381",1,"Oceanispirochaeta sediminicola",chloramphenicol,1,
,,,,,fosfomycin,,1
,,,,,kanamycin,,1
,,,,,penicillin,1,
,,,,,rifampicin,,1
132549,,"DSM 101867, CIP 110951, NCIMB 703044, AVG 2115",1,"Oceanivirga salmonicida",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,"clavulanic acid",1,
,,,,,clindamycin,1,
,,,,,colistin,1,
,,,,,enrofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
1375,"T3944 D","DSM 18262, CIP 109536, KCTC 13626, LMG 23627",1,"Oceanobacillus chironomi",ampicillin,1,
,,,,,bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,streptomycin,1,
,,,,,tetracycline,,1
132449,J8B,"DSM 23996, IBRC-M 10444",1,"Oceanobacillus halophilus",amikacin,,1
,,,,,amoxicillin,,1
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
1380,A1g,"DSM 24772, CGMCC 1.7693, JCM 15776",1,"Oceanobacillus neutriphilus",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,0,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,nitrofurantoin,1,
1374,20AG,"DSM 16557, ATCC BAA 954, CIP 109235",1,"Oceanobacillus oncorhynchi subsp. incaldanensis",ampicillin,1,
,,,,,bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,kanamycin,0,1
,,,,,lincomycin,1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,streptomycin,1,
,,,,,tetracycline,0,1
1878,"CIP 82.115, CIP 149-70","DSM 6882, Alc 37, ATCC 49188, CIP 149-70, CIP 82.115, LMG 3331",1,"Brucella anthropi",carbenicillin,1,
,,,,,co-trimoxazole,1,
,,,,,"nalidixic acid",1,
,,,,,tetracycline,1,
1897,CA-34,"DSM 22292, CCUG 57879",1,"Brucella ciceri",ampicillin,,1
,,,,,aztreonam,,1
,,,,,cefixime,,1
,,,,,cephradine,,1
1890,,"DSM 19778, CECT 7172, CIP 109590, LMG 22713, CCUG 54646, ESC 1",1,"Brucella cytisi",ampicillin,,1
,,,,,cefuroxime,,1
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,cloxacillin,,1
,,,,,erythromycin,,1
,,,,,neomycin,,1
,,,,,oxytetracycline,,1
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
1882,OgA9a,"DSM 13338, NBRC 102586, CCUG 46362, CIP 107373, LMG 18954",1,"Brucella grignonensis",colistin,,1
,,,,,"polymyxin b",,1
1888,"CNS 2-75","DSM 17986, CIP 105838, LMG 3301, NCTC 12171, CCUG 24694",1,"Brucella intermedia",colistin,,1
1891,,"CCUG 55422, DSM 17490, CIP 109116, KCTC 22760, ADV 31",1,"Brucella pseudintermedia",amikacin,1,
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,co-trimoxazole,1,
,,,,,colistin,,1
,,,,,fosfomycin,,1
,,,,,gentamicin,1,
,,,,,imipenem,1,
,,,,,isepamicin,1,
,,,,,"nalidixic acid",1,
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957",1,"Brucella tritici",chloramphenicol,,1
,,,,,colistin,1,
,,,,,"polymyxin b",1,
158523,RA1-3,"KCTC 42605, CECT 8868",1,"Octadecabacter ascidiaceicola",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140604,,"JCM 30904, KCCM 43131, MEBiC 09124",1,"Oleiagrimonas citrea",amikacin,,1
,,,,,amoxicillin,,1
,,,,,ampicillin,,1
,,,,,cefoxitin,,1
,,,,,"cefuroxime sodium",,1
,,,,,cephalothin,,1
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",,1
,,,,,meropenem,,1
356,,"DSM 18253, ATCC 43534, CCM 4583, CCUG 1465Aa, CDC C379, CIP 103114, LMG 6519, NCTC 11997, CCUG 1465 A",1,"Oligella ureolytica",penicillin,,1
355,MC213,"DSM 7531, ATCC 17960, CCUG 13463, LMG 5303, CDC 7603",1,"Oligella urethralis",penicillin,1,
140563,"3Alg 18","KCTC 22024, KMM 6133, DSM 109192",1,"Olleya algicola",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefazolin,1,
,,,,,cephalexin,1,
,,,,,chloramphenicol,1,
,,,,,doxycycline,1,
,,,,,erythromycin,1,
,,,,,gentamicin,0,0
,,,,,kanamycin,,0
,,,,,lincomycin,1,
140865,,"CGMCC 1.14989, KCTC 39700, EGI 80423",1,"Ornithinicoccus halotolerans","amphotericin b",1,
,,,,,ampicillin,1,
,,,,,azithromycin,1,
,,,,,cefalotin,1,
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,1,
3250,,"DSM 17368, JCM 12287, NRRL B-23963, UST 20020801",1,"Owenweeksia hongkongensis",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,"penicillin g",1,
,,,,,"polymyxin b",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
140738,KJ21,"KACC 19098, JCM 31805",1,"Pacificibacter aestuarii",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
,,,,,tetracycline,1,
140618,L14,"CGMCC 1.15420, JCM 31170",1,"Paenibacillus aceti",aztreonam,,1
,,,,,fusidate,,1
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,,1
,,,,,"rifamycin sv",,1
,,,,,"tetrazolium blue",,1
,,,,,troleandomycin,,1
,,,,,vancomycin,,1
140714,RC11,"KCTC 33816, LMG 29659, TISTR 2452",1,"Paenibacillus aurantiacus",ampicillin,,1
,,,,,bacitracin,,1
,,,,,chloramphenicol,,1
,,,,,tetracycline,,1
159854,"CFH S0170","KCTC 33624, BCRC 80802",1,"Paenibacillus esterisolvens",Amikacin,1,
,,,,,"cefuroxime sodium",,1
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,norfloxacin,,1
,,,,,novobiocin,1,
,,,,,optochin,,1
,,,,,oxacillin,,1
140459,Agd-32,"BCRC 80902, KCTC 33691, LMG 28836",1,"Paenibacillus lacus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,,1
132390,R55,"DSM 29850, CGMCC 1.15043",1,"Paenibacillus marchantiophytorum",azithromycin,1,
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,kanamycin,,1
,,,,,ofloxacin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
158786,S8,"KCTC 33848, JCM 31672",1,"Paenibacillus mobilis",carbenicillin,1,
,,,,,cefazolin,1,
,,,,,ceftazidime,,1
,,,,,erythromycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
,,,,,rifampicin,1,
,,,,,tetracycline,1,
132619,DB13260,"DSM 28014, CGMCC 1.12769",1,"Paenibacillus segetis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
